Country;Happiness Score;Lower Confidence Interval;Upper Confidence Interval;GDP per Capita;Social Support;Healthy Life Expectancy;Freedom to Make Life Choice;Perception of Corruption;Generosity;Dystopia Residual
Finland;7.741;7.667;7.815;1.844;1.572;0.695;0.859;0.546;0.142;2.082
Denmark;7.583;7.500;7.665;1.908;1.520;0.699;0.823;0.548;0.204;1.881
Iceland;7.525;7.433;7.618;1.881;1.617;0.718;0.819;0.182;0.258;2.050
Sweden;7.344;7.267;7.422;1.878;1.501;0.724;0.838;0.524;0.221;1.658
Israel;7.341;7.277;7.405;1.803;1.513;0.740;0.641;0.193;0.153;2.298
Netherlands;7.319;7.256;7.383;1.901;1.462;0.706;0.725;0.372;0.247;1.906
Norway;7.302;7.215;7.389;1.952;1.517;0.704;0.835;0.484;0.224;1.586
Luxembourg;7.122;7.031;7.213;2.141;1.355;0.708;0.801;0.432;0.146;1.540
Switzerland;7.060;6.973;7.147;1.970;1.425;0.747;0.759;0.498;0.173;1.488
Australia;7.057;6.973;7.141;1.854;1.461;0.692;0.756;0.323;0.225;1.745
New Zealand;7.029;6.954;7.105;1.810;1.527;0.673;0.746;0.480;0.226;1.567
Costa Rica;6.955;6.860;7.051;1.561;1.373;0.661;0.797;0.123;0.109;2.333
Kuwait;6.951;6.843;7.060;1.845;1.364;0.661;0.827;0.172;0.200;1.884
Austria;6.905;6.824;6.986;1.885;1.336;0.696;0.703;0.305;0.214;1.766
Canada;6.900;6.815;6.984;1.840;1.459;0.701;0.730;0.368;0.230;1.572
Belgium;6.894;6.827;6.961;1.868;1.440;0.690;0.729;0.311;0.170;1.686
Ireland;6.838;6.749;6.927;2.129;1.390;0.700;0.758;0.418;0.205;1.239
Czechia;6.822;6.741;6.903;1.783;1.511;0.638;0.787;0.068;0.177;1.858
Lithuania;6.818;6.739;6.896;1.766;1.454;0.598;0.533;0.116;0.044;2.307
United Kingdom;6.749;6.665;6.833;1.822;1.326;0.672;0.713;0.351;0.267;1.598
Slovenia;6.743;6.643;6.843;1.786;1.502;0.695;0.789;0.131;0.157;1.683
United Arab Emirates;6.733;6.643;6.823;1.983;1.164;0.563;0.815;0.258;0.209;1.741
United States;6.725;6.631;6.818;1.939;1.392;0.542;0.586;0.169;0.223;1.873
